brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_daily_avg,member_pop_up_sales,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1410,Curtains & Drapes,Window,0.2,2.74,7.07,1.578,4.33,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1318,Dining Linens,Tabletop,0.1,2.74,11.03,3.03,8.29,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1345,Dining Linens,Tabletop,0.1,2.71,0.0,-1.0,-2.71,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,ALTH2296,Dining Linens,Tabletop,0.35,2.56,0.0,-1.0,-2.56,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1619,Dining Linens,Tabletop,0.1,2.54,4.01,0.579,1.4699999999999998,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1711,Dining Linens,Tabletop,0.1,2.54,0.0,-1.0,-2.54,False,False
Wayfair US,23034,Ramallah Trading Company,Benjamin Hannigan,CHRL5897,Valances & Kitchen Curtains,Window,0.25,2.51,6.28,1.501,3.7700000000000005,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1740,Curtains & Drapes,Window,0.2,2.51,33.43,12.333,30.92,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,CRLM3580,Dining Linens,Tabletop,0.2,2.48,3.78,0.524,1.2999999999999998,True,True
Wayfair US,14925,Lichtenberg,Missy Paragamian,GDIG1137,Accent Pillows,Bedding,0.2,2.48,44.5,16.977999999999998,42.02,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1392,Curtains & Drapes,Window,0.35,2.46,0.0,-1.0,-2.46,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1556,Dining Linens,Tabletop,0.1,2.43,7.12,1.9280000000000002,4.6899999999999995,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,WLRO1140,Curtains & Drapes,Window,0.15,2.39,0.0,-1.0,-2.39,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ2849,Potholders,Kitchen,0.1,2.38,0.0,-1.0,-2.38,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ2892,Dining Linens,Tabletop,0.1,2.37,4.13,0.741,1.7599999999999998,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ2894,Dining Linens,Tabletop,0.1,2.3,16.19,6.03,13.89,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1566,Dining Linens,Tabletop,0.35,2.24,0.0,-1.0,-2.24,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1339,Curtains & Drapes,Window,0.2,2.15,3.77,0.753,1.62,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ11029,Curtains & Drapes,Window,0.08,2.12,0.0,-1.0,-2.12,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1374,"Placemats, Chargers, & Napkins",Tabletop,0.2,2.09,0.0,-1.0,-2.09,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1294,Valances & Kitchen Curtains,Window,0.2,2.06,0.0,-1.0,-2.06,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1224,Curtains & Drapes,Window,0.4,2.05,0.0,-1.0,-2.05,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1655,"Placemats, Chargers, & Napkins",Tabletop,0.2,2.02,0.0,-1.0,-2.02,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1532,Curtains & Drapes,Window,0.15,2.01,0.0,-1.0,-2.01,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,TDCO1113,Valances & Kitchen Curtains,Window,0.2,2.01,2.68,0.33299999999999996,0.6700000000000004,True,True
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1312,Curtains & Drapes,Window,0.2,2.0,0.0,-1.0,-2.0,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,CLWD1002,Curtains & Drapes,Window,0.2,1.98,0.0,-1.0,-1.98,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1718,Curtains & Drapes,Window,0.25,1.93,0.0,-1.0,-1.93,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1078,Valances & Kitchen Curtains,Window,0.2,1.89,0.0,-1.0,-1.89,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1247,Bedding Sets,Bedding,0.4,1.86,0.0,-1.0,-1.86,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ3039,"Placemats, Chargers, & Napkins",Tabletop,0.2,1.85,0.0,-1.0,-1.85,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1795,Curtains & Drapes,Window,0.22,1.85,14.27,6.722,12.42,True,True
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1032,Curtains & Drapes,Window,0.4,1.84,0.0,-1.0,-1.84,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,MCRW1910,Curtains & Drapes,Window,0.33,1.83,0.0,-1.0,-1.83,False,False
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ1276,Curtains & Drapes,Window,0.11,1.83,0.0,-1.0,-1.83,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1118,Blankets And Throws,Bedding,0.35,1.8,0.0,-1.0,-1.8,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,TDCO1228,Curtains & Drapes,Window,0.2,1.8,0.0,-1.0,-1.8,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,WLAO3200,Curtains & Drapes,Window,0.2,1.78,0.0,-1.0,-1.78,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1739,Curtains & Drapes,Window,0.2,1.77,0.0,-1.0,-1.77,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1375,"Placemats, Chargers, & Napkins",Tabletop,0.1,1.73,5.76,2.335,4.029999999999999,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,DELN1004,Blankets And Throws,Bedding,0.29,1.72,0.0,-1.0,-1.72,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1528,"Placemats, Chargers, & Napkins",Tabletop,0.1,1.71,0.0,-1.0,-1.71,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1818,Dining Linens,Tabletop,0.2,1.7,0.0,-1.0,-1.7,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ3371,Dining Linens,Tabletop,0.2,1.66,0.0,-1.0,-1.66,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB8440,Dining Linens,Tabletop,0.2,1.65,0.0,-1.0,-1.65,False,False
