display_sku,prsku,category,color_count,sales_ltm_fandd_net_revenue,ordercount_ltm
BDUR3071,BDUR3071,Bedding,15,20462.64,292
W111185469,RBHO1013,Window,11,20447.56,949
W009353212,EDIV2288,Bedding,19,20401.05,208
W005271212,MECY2163,Window,17,20400.28,316
ACRY2903,ACRY2903,Bedding,17,20337.98,569
W006235587,DAKR1013,Bath,10,20165.91,560
W004573444,CHMB2411,Bedding,15,20061.29,393
W005438239,CRLM1550,Bedding,15,19920.69,444
W003391804,ACRY2435,Bedding,12,19789.14,548
BDUR1570,BDUR1570,Bedding,14,19785.47,627
W112184098,AWEW1164,Window,10,19738.15,306
W005483801,GGGR1460,Window,16,19735.43,722
W000701932,BYIL5767,Bedding,15,19723.55,373
W000821332,HMRT3046,Bedding,10,19703.3,271
ULIH3045,ULIH3045,Bedding,11,19374.53,279
DCNV1819,DCNV1819,Window,11,19342.52,575
W113988616,FEHH1120,Bath,15,19305.68,396
W010383402,ULIH2978,Bedding,11,19262.02,270
GSTL1213,GSTL1213,Bedding,18,19241.75,276
WLR1263,WLR1263,Bedding,18,19236.2,525
SLPH1158,SLPH1158,Bedding,32,19202.03,563
W005405312,GRVL1046,Bedding,17,19189.28,356
BDUR1496,BDUR1496,Bedding,16,19180.27,856
TWXL1380,TWXL1380,Bedding,17,19120.25,219
W005759045,LFMF4290,Bedding,24,18952.72,405
W100174147,RVAN1264,Bedding,18,18867.6,472
W005933613,CHMB1351,Bath,21,18859.04,238
W003468432,VTRI1017,Bath,16,18674.73,1008
W005059602,HGLN3300,Bath,11,18568.98,235
BMMA1000,BMMA1000,Bath,14,18522.45,503
W005932259,CHMB1367,Bath,21,18497.23,313
W003818157,RBSD5169,Bath,13,18448.82,551
THPS4475,THPS4475,Bedding,20,18426.82,480
GSTL1214,GSTL1214,Bedding,18,18410.79,219
TLDR1029,TLDR1029,Bedding,12,18396.15,431
HVQ11435,HVQ11435,Bedding,15,18393.61,164
W002903226,SBLK2601,Bedding,29,18382.58,208
W001835521,LGLY7137,Bedding,21,18282.77,549
RAOR1276,RAOR1276,Window,10,18281.42,525
W004636665,ZZKO1216,Window,10,18258.92,303
W100808069,NGIN1144,Bedding,11,18192.13,532
W010486945,CEZM1237,Bedding,21,18097.93,280
AXBT1044,AXBT1044,Window,12,18077.78,52
W113048647,GSNB1168,Window,18,18016.69,364
W100407679,BHLV1072,Bedding,10,17978.68,446
W100534185,NDDN1494,Bedding,12,17965.67,178
W005160735,TWXL1089,Bedding,20,17928.76,630
W004472141,ALCT5943,Bath,15,17897.95,312
W003301910,WLAO2844,Bedding,10,17866.71,642
IPCR1080,IPCR1080,Bedding,16,17846.79,621
CNOR1117,CNOR1117,Bedding,13,17838.04,441
W009560665,TCLH1288,Bedding,12,17813.75,91
W110813737,KSNU1142,Bedding,10,17736.2,604
JLYI1277,JLYI1277,Bedding,21,17686.67,210
FEHH1127,FEHH1127,Bedding,10,17585.95,129
W003383122,EEGA1482,Bedding,13,17548.26,694
W005374424,LNPE1928,Bedding,15,17440.89,478
WLRO1145,WLRO1145,Bedding,79,17426.35,152
W003246033,LATT3745,Bath,11,17379.44,619
W010293318,CSGV7892,Window,10,17312.96,141
W001950013,HSHD1062,Bedding,15,17239.75,298
W004515487,FBWX1428,Bath,21,17214.21,412
SEDZ1269,SEDZ1269,Bedding,11,17052.5,196
W005369155,KREE1002,Bedding,28,17020.58,296
W003471807,MROW6421,Bedding,14,16971.65,243
LBQN2589,LBQN2589,Bedding,13,16881.88,76
W005485364,ANEW4035,Bedding,23,16711.03,423
DRQH1905,DRQH1905,Bedding,12,16700.88,174
W004113736,OBVQ1000,Window,15,16700.78,59
W005406196,DBYH5454,Bedding,20,16688.74,343
W011124141,CESH1038,Bedding,12,16605.54,391
W003456093,PHN1535,Bedding,10,16601.03,373
AXBT1032,AXBT1032,Bedding,12,16598.39,54
W006735922,WRRS1889,Bedding,18,16586.15,365
W003467882,TCKP2088,Bedding,12,16475.82,457
W009077837,TCGN1085,Bedding,14,16429.1,223
W000317150,WFBS2080,Window,11,16338.09,772
W005486079,ASTG8133,Window,17,16333.68,297
BDUR1605,BDUR1605,Bedding,12,16296.73,268
W000620854,MAKT1043,Bath,12,16233.43,375
W002264189,CHMB2409,Bedding,13,16220.07,293
W009333669,ULIH2812,Bedding,11,16152.0,220
W005407139,AAOF1147,Window,13,16077.41,209
W004997200,MCRF4947,Bedding,14,16035.12,234
W005485114,CEEC1168,Bedding,10,15965.71,482
BDUR1177,BDUR1177,Bedding,14,15959.28,573
W110814944,ZYWR2217,Bath,10,15868.06,173
W005061787,AUGV1941,Window,12,15801.95,678
W007178722,FBWX1491,Bath,19,15787.61,792
ALTL6105,ALTL6105,Bath,10,15728.12,394
W001546847,GGGR1421,Window,14,15678.2,335
W113831639,GCEO6537,Window,18,15630.05,225
W011288535,HAEQ1550,Bath,17,15599.74,324
W002141286,SBLK2718,Bedding,26,15520.59,197
W006944377,FBWX1438,Bath,19,15511.81,528
BCTS1191,BCTS1191,Bedding,10,15496.72,455
W009268386,AOLO1072,Bedding,14,15476.04,428
MECY3122,MECY3122,Bedding,13,15407.52,248
LMDE1661,LMDE1661,Bedding,39,15392.93,111
W009361177,ULIH2822,Bedding,11,15389.26,202
W007063991,OCCJ1186,Bedding,18,15375.69,214
W000414785,EABU1072,Bedding,10,15363.02,442
W000658224,BL19242,Bedding,10,15323.99,85
W003184695,TWXL1329,Bedding,22,15244.25,310
QLLB1002,QLLB1002,Bedding,10,15237.54,219
W100286085,WRRS2668,Bedding,10,15227.67,297
W002194427,WRRS1845,Bedding,19,15226.13,506
W009881785,GCEE1634,Bedding,12,15221.01,311
W100644395,ZYWR1831,Bedding,11,15125.48,622
W005101164,AWEW1032,Bath,14,15121.38,598
